chunk_id,page_number,chunk_index,unit_number,unit_title,lesson_number,lesson_title,lesson_start_page,lesson_end_page,content_length,text_quality,content,source_file,content_category
语文三上.pdf_page_1_chunk_1,1,0,,,,,,,24,"{'score': 0.675, 'is_suitable': True, 'reason': '中文为主'}",三年级 上册 全国优秀教材特等奖 义务教育教科书,data/textbooks/语文三上.pdf,其他
语文三上.pdf_page_2_chunk_1,2,0,1,第1单元,1,序,7,10,34,"{'score': 0.6588235294117647, 'is_suitable': True, 'reason': '中文为主'}",三年级 上册 义务教育教科书 北 京 教育部组织编写 总主编 温儒敏,data/textbooks/语文三上.pdf,其他
语文三上.pdf_page_3_chunk_1,3,0,1,第1单元,1,序,7,10,229,"{'score': 0.9467248908296944, 'is_suitable': True, 'reason': '长度适中, 中文为主'}",总 主 编：温儒敏 小学主编：陈先云（执行） 曹文轩 崔 峦 李吉林 编写人员：（以姓氏笔画为序） 冯 颖 陈先云 郑 宇 柳美彤 段宗平 施建平 徐 轶 温儒敏 责任编辑：柳美彤 向 瑞 美术编辑：李宏庆 义务教育教科书 语文 三年级 上册 教育部组织编写 （北京市海淀区中关村南大街 17 号院 1 号楼 邮编：100081） 址 版权所有未经许可不得采用任何方式擅自复制或使用本产品任何部分违者必究 如发现内容质量问题，请登录中小学教材意见反馈平台：,data/textbooks/语文三上.pdf,其他
语文三上.pdf_page_4_chunk_1,4,0,1,第1单元,1,序,7,10,331,"{'score': 0.9129909365558913, 'is_suitable': True, 'reason': '长度适中'}",目录 第一单元1 1 大青树下的小学2 2 花的学校5 3 不懂就要问7 口语交际：我的暑假生活9 习作：猜猜他是谁10 语文园地11 第二单元13 4 古诗三首14 山行14 赠刘景文14 夜书所见15 5 铺满金色巴掌的水泥道16 6 秋天的雨19 7 听听，秋的声音22 习作：写日记24 语文园地25 第三单元27 8 卖火柴的小女孩28 9 那一定会很好33 10 在牛肚子里旅行35 11 一块奶酪38 习作：我来编童话40 语文园地41 快乐读书吧： 在那奇妙的王国里43 第四单元45 12 总也倒不了的老屋46 13 胡萝卜先生的长胡子50 14 小狗学叫53 口语交际：名字里的故事59 习作：续写故事60 语文园地61,data/textbooks/语文三上.pdf,日积月累
语文三上.pdf_page_5_chunk_1,5,0,1,第1单元,1,目录,7,10,361,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 教育相关'}",第五单元63 15 搭船的鸟64 16 金色的草地66 习作例文： 我家的小狗69 我爱故乡的杨梅70 习作：我们眼中的缤纷世界72 第六单元73 17 古诗三首74 望天门山74 饮湖上初晴后雨74 望洞庭75 18 富饶的西沙群岛76 19 海滨小城79 20 美丽的小兴安岭81 习作：这儿真美84 语文园地85 第七单元87 21 大自然的声音88 22 读不完的大书91 23 父亲、树林和鸟94 口语交际：身边的小事97 习作：我有一个想法98 语文园地99 第八单元101 24 司马光102 25 灰雀103 26 手术台就是阵地105 27 一个粗瓷大碗108 口语交际：请教110 习作：那次玩得真高兴111 语文园地112 识字表114 写字表117 词语表119 标的是略读课文,data/textbooks/语文三上.pdf,日积月累
语文三上.pdf_page_6_chunk_1,6,0,1,第1单元,1,大青树下的小学,7,10,51,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}",美丽的校园， 成长的摇篮， 梦想启航的地方。 阅读时，关注有新鲜感的词语和句子。 体会习作的乐趣。,data/textbooks/语文三上.pdf,习作
语文三上.pdf_page_7_chunk_1,7,0,1,第1单元,1,大青树下的小学,7,10,257,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}",大青树下的小学 本文作者吴然，选作课文时有改动。 早晨，从山坡上，从坪坝 里，从一条条开着绒球花和 太阳花的小路上，走来了许多小学生，有汉族的，有傣族的，有景颇 族的，还有阿昌族和德昂 族的。大家穿戴不同， 来到学校，都成了好朋友。那鲜艳 的服装，把学校打扮 绚丽多彩。同学们向在校园里欢唱的小鸟打招呼，向敬爱 的老师问好，向高高飘扬 的国旗敬礼。 当，当当！当，当当！大青树上的铜钟敲响了。 上课了，不同民族的小学生，在同一间教室里学习。 大家一起朗读 课文，那声音真好听！这时候，窗外十分安,data/textbooks/语文三上.pdf,阅读
语文三上.pdf_page_8_chunk_1,8,0,1,第1单元,1,大青树下的小学,7,10,171,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}",静，树枝不摇了，鸟儿不叫了，蝴蝶停在花 朵上，好像都在听同学们读课文。最有趣的 是，跑来了两只猴子。这些山林里的朋友， 是那样好奇地听着。下课了，大家在大青树 下跳孔雀舞，摔 ，做游戏，招引来许多小 鸟，连松鼠也赶来看热闹。 这就是我们可爱的小学，一所边疆的小 学。古老的铜钟，挂在大青树粗壮的枝干上。 尾竹的影子，在洁 白的墙上摇晃,data/textbooks/语文三上.pdf,其他
语文三上.pdf_page_9_chunk_1,9,0,1,第1单元,2,花的学校,10,12,164,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}",服装 朗读课文，一边读一边想象课文描写的画面。在文中画出有新 鲜感的词句和同学交流。 这所学校有哪些特别的地方？用自己的话说一说。 你的学校是什么样的？同学们在学校里做些什么？选择一个场 景说一说。 教室里 操场上 花坛边 图书室里 教学楼前 大树下 上课的时候 放学了 资料袋 傣族 景颇族 阿昌族 德昂族,data/textbooks/语文三上.pdf,交流
语文三上.pdf_page_10_chunk_1,10,0,1,第1单元,2,花的学校,10,12,360,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}",花的学校 本文作者是印度的泰戈尔，译者郑振铎，选作课文时有改动。 当雷云在天上轰响，六月的阵雨落下的时候，湿润的 东风走过荒 野，在竹林中吹着风笛 于是，一群一群的花从无人知道的地方突然跑出来， 在绿草上跳舞，狂欢。 妈妈，我真的觉得那些花朵是在地下的学校里上学。 他们关了门做功 课。如果他们想在放学以前出来游戏， 他们的老师是要罚 他们的。 雨一来，他们便放假 了。 树枝在林中互相碰触着，绿叶在狂风里簌 簌地响，雷 云拍着大手。这时，花孩子们便穿了紫的、黄的、白的衣 ，冲了出来。 你可知道，妈妈，他们的家是在天上，在星星所住的 地方。 你没有看见他们怎样地急着要到那儿去吗？你不知道 他们为什么那样急急忙忙吗？ 我自然能够猜得出他们是对谁扬起双臂来，他们也有 他们的妈妈，就像我有我自己的妈妈一样。,data/textbooks/语文三上.pdf,练习
